"POST_TITLE","POST_CONTENT"
"Period sex","Partner says period sex 'isn't something he likes the idea of'. I've never been with someone who has had an issue with it and honestly, it makes me feel gross during that week because I know he's not interested Other than that sex life is very active, usually more than 3x a week. He is more than happy with all sorts of other things, bum stuff, other stuff - just that week he doesn't like the idea of. I've googled and so many articles saying LTB if this is a thing I am interested to hear others experiences"
"To ask what you would do","Posting here for traffic which I know makes me unreasonable. New name but LTP. Been around for Pom bear, Mexican house thief and I’d know how to get my laundry darked on DH has felt ill since Sat. He is drinking fine and managing to eat very small amounts. He has stomach cramps and nausea. This morning he has now said he has palpitations and mild breathless too. He’s notorious for not seeking medical advice. Negative Covid test. Should I press him to call 111 or am I worrying unnecessarily?"
"To ask you what your marriage/LTR is like?","I've been with my DH for 17 years, married for 13 this year. When we met I didn't fall deeply in love, it grew to a stable love over time. I'd had a string of bad relationships and thought I was making a grown up choice. I told myself that sparks and head over heels was a fairy tale. Only, now I'm here at 47 with a 9 year old DS and I'm not particularly happy in the relationship. I'm not deeply unhappy, my DH is a good man but we've become more like co-parents who very occasionally have sex. I spend a lot of time doing my own thing and avoiding too much time with him. His habits annoy me and I'm sure he'd the same about me! I care about him, he's one of my closest friends.. but I keep thinking does he deserve a better love than I give him and vice versa? Or do I just need to grow the F up? Work on myself and my issues? This feels like a diamond shoes too tight kind of problem to be honest. Marriages exist on less. So, how would you describe your marriage?"
"How to compromise when dating","Currently long term single and have been told my standards might be too high! I’m reconsidering what my deal breakers are and what I am looking for in a partner. Does the person you are with (LTR or married to) match the person you envisaged being with? Or did you make small concessions? What sort of things did you compromise on and did they turn out to not matter in the grand scheme of things?"
"Stay or go (cheater)","I don’t know if it’s my personality or maybe linked to my autism but I struggle to make decisions and always need a really balanced pros and cons list. I am currently in a dilemma although really it’s probably fairly obvious what I should do. However, the more people tell me to LTB in indignation, the more I shove my heels in. So, I’d appreciate some kind assistance. I discovered yesterday via anon message that when I told my partner I was pregnant last year, he took the news badly and essentially went and slept with a couple of other women over a period of a couple of months because I’d ruined his life and he was bitter. He moved out a few months after that but we remained a couple. I discovered that two months ago that two weeks after our daughter was born, whilst he was playing the doting father, he was apparently planning a suicide attempt and because he “didn’t want to make it worse for me” left me abruptly and slept with someone else for a couple of weeks. At the time of his overdose I essentially knew something was wrong despite not talking, went to his house where he was in a state. He cried and begged for me to take him back and since then, has been trying hard to be better. He has slipped up by not coming home from the pub when he says he will, an hour later for instance and says it’s because of his ADHD. He has been making plans for our future etc. However, I said - I don’t understand how you could do these sorts of things to someone you love - and apparently that triggered another depression spiral and now he is questioning whether he loves me because I’m right. Why would you do that. I have previously excused his behaviour because he does suffer from severe depression and PTSD from an attack 4 years ago. I can imagine you are reading this and thinking, are you stupid? Is this not obvious? Well - yes, it is - he brings nothing. But…I love him incredibly deeply, so deeply it physically hurt when he left. And to my not very normal brain, that overrides anything and everything. The logical side of me knows that’s stupid, but the little lost girl clings on to the fact that I adore him despite his huge faults. I cannot bring myself to end it and ask him to leave. Even the idea that I don’t want my daughter to grow up seeing this as the ‘model’ relationship isn’t enough. I’m crying as I write this, I love her more than anything so why can’t I take the right steps and make the right decisions. thank you for reading"
"Should I be contacting the police.","I am not asking for judgement firstly. I have name changed but I am a LT poster. I was dating this guy, it was casual and there were quite a few red flags which I stupidly ignored. He is kind of well known publicly, but has massive delusions of grandeur and very self important and possibly NPD. Not really that important publicly as he thinks he is. I spent a few weekends at his, we had A LOT of sex, did coke and drank a lot. I paid for all my fuel to get there, took alcohol every time and gave him cash for anything else we got. The third time I stayed there (by this point I had massive reservations) in the morning he woke up and accused me of attempting to rape him. I remember everything that happened and that did not happen. We had a lot of sex and at the end of the night he was tired and not into it. We went to sleep. He told me to leave or he was going to call the police, it was 8am, he was still drinking alcohol, I was worried about driving but wanted to get out of there, so left. Since then he has sent me voice notes calling me a criminal, a rapist, a monster, an abuser. He said I hadn’t paid my way, which I had, and that he was going to report me to my place of work (children’s services) and report me to the police because I hadn’t paid him, called me a cunt, not even a human, just really vile stuff. I sent him more money as I panicked and was really upset and said if I haven’t paid my way I am sorry but he just kept calling me a rapist. Now I have sent the money he’s gone quiet, but I am so shaken and upset. I don’t know whether to just mark it down to shite judgment on my part and move on or should I call the police as it’s blackmail, and I didn’t do anything untoward to him."
"AIBU to think this guy is a Halloween fun sponge?","Now, I hate Halloween with a passion, always have always will, so I do the Mumsnetty thing of not opening my door to Trick or Treaters on the night, but some random bloke has decided to create a set of rules and regulations that he (seriously, really seriously) expects people to follow: With the spooky season upon us: A few people have asked me draw something up to avoid a repeat of last years Halloween. Here are a few ideas I’ve thought of – am welcoming feedback on this consultation 1. Do you really need to buy decorations and toys that are single use plastic 2. No misleading signs in shops and bakeries, pubs and public buildings. “e.g. danger keep out” 3. No flashing lights or loud noises that could be challenging to a persons of additional needs 4. No outfits that are frightening to dogs 5. No trick or treating on main roads, LTN ‘s or other special roads ONLY. 6. Any houses wishing to participate must pre-register (cannot be a house near a dog park). 7. Any snacks must be accompanied by an allergy sheet – it the responsibility of the “candy donor” to check for allergies from a responsible adult 8. Families wishing to trick or treat must pre-register 10 working days in advance and specify their route and times along side details of the fancy dress. For neighbours via this app to lodge any objections. 9. Any decorations deemed inappropriate to be removed promptly upon regular patrol 10. No children under 9 The only point I agree with is no.1 - AIBU in thinking let people live, it's one night?"
"Stand off with DH over bathing making me so anxious","LTR, both in 50's. This has been going on for some time (I would say this stand off is a year or 2 but making me more and more stressed). It will sound so minor and ridiculous but it is creating such stress and anxiety for me. My DH likes to have a bath, not a shower. He likes the ""soak"" and feels like he doesn't get clean properly in a shower (he has job where he can get quite dirty), and also he likes to wet shave in the bath (hates doing it just at a mirror with a sink). He also has a thing about saving water. So this means that he wants me to have a bath first and then he can get in afterwards. So as not to drip feed - i guess we have done this a lot for our relationship - early days we had properties that didn't have a shower, and then with small children we would jump in the water after them for convenience. (and he says why do we have to change?) However I find having a bath time consuming, I often want to shower in the morning not bathe at night, or want to shower when I feel dirty/sweaty (my job can be quite physical). I also think my hair washed much better in shower than rinsing with a jug in the bath. He has a habit of saying ""can we bathe tonight"" and gets really arsy if I say I don't want one as I have already showered or like last night it was so hot yesterday I showered not bathed. He was sulking and angry all evening (made it about something else but I know it was about this). He has asked again this morning ""can we bathe tonight"". I have said it is too hot, and he just goes on about how I can have a cold bath (it's apparently no different to me getting in a lake when i swim???), and that he wants to shave. We end up in this argument of why can't I just have a bath, it saves water if the two of us share a bath (I actually disagree on this as the 2nd person always puts more water in so I think a one person bath and one person shower would be the same - i have quick showers and we don't have a crazy power shower). He has even in the past then refused to have a bath himself and had a strip wash instead (making a point that he hates showers). There is total major guilt trip and such anger from him - i know this is totally weird and out of proportion and I can't live my having this much anxiety over a fucking bath, but equally I can't deal with the fall out when I stand up to him. He thinks I am being totally unreasonable. I am going away for work for a few weeks tomorrow, and seriously thinking of sending an email about this to him when I am away so I can clearly lay down boundaries whilst having some space away. Not sure how else to deal with this in an assertive way without ending up in a major row :("
"Husband’s disability and parenting","Husband has ME/Chronic Fatigue Syndrome, it’s a chronic illness and he is registered as disabled. His ME/CFS involves exhaustion on his part, lots of napping during the day/after work when he finishes at 4. We had a baby recently, I am on maternity leave and he is working full-time from home. Pre-baby we would nap after work, eat dinner at 9pm and go to bed at midnight. He hasn’t shifted his sleeping pattern since baby has been born, whereas I no longer nap and go to bed at 8:30/9:30 when baby does. We are like passing ships. Since baby has been born, we have been very fortunate to have a family member stay to help with caesarean recovery, laundry etc. Family member has now gone home and honestly I’m finding it lonely and difficult to get things done as baby needs constant entertainment as she’ll cry if I put her down. Today I told husband that I’m struggling doing everything (looking after baby, laundry, dishes, bottles etc) and asked if he could start helping out. I do all the night feeds, the laundry, etc. Only thing I ask is for him to be around and not constantly in bed so I can hand baby to him so I can do the dishwasher/bottles/tidy/shower etc and so he can have some 1:1 with baby. I do all the feeds, nappy changing, dressing, bathing etc. He says I’m being unreasonable because I knew he had a chronic health condition before planning a baby with him. He said other single mum’s manage and he doesn’t understand why I can’t. My views are that his condition does not remove his responsibility as a father and therefore me asking him to help out periodically is not unreasonable. I’m back to my full time job soon and expect things will be tougher. I should also say that he loves our baby so much and is great at interacting etc. He’s also having a tough time at work at the moment and is struggling with anxiety as a result. He’s a good man, there is no LTB etc. AIBU?"
"Did I do a one night stand wrong?! Getting ripped from my friends","My friends are currently laughing at my “failed” one night stand last night. Very unlike me, but I met up with a guy yesterday at his place. I’ve come out of a LTR and definitely do not want a boyfriend, at all. I just wanted sex. Anyway, he paid for me to get to his house for 3pm yesterday (friends thought the time was hilarious for some reason??), we talked for an hour or so and then had sex. After sex he said he’d like it if I stayed the night (I presume for further/morning sex). We watched a film, had sex and then spoke a bit longer. We got on well and had the same sense of humour so it wasn’t awkward or anything! Anyway, I left at around 11 this morning after staying the night (we didn’t have sex this morning, just cuddled). friends feel I’ve done it wrong because: I stayed the night? Apparently you should leave straight after the deed? (Not sure why this is weird - it’s nice to sleep next to someone and cuddle?) We were laughing and talking (apparently this is “not boundaried”) i arrived too early and should have gone around 10pm Is there a rule book I’m missing out on?!? Was I a weirdo?? I thought I was being normal!"
