"URL","KEYWORD_TOPIC","POST_ID","POST_TITLE","USERNAME","POST_DATE","POST_CONTENT","THREAD_CREATION_DATE","NUMBER_OF_COMMENTS","COMMENT_ID","COMMENT_DATE_TIME","COMMENT_USERNAME","COMMENT_CONTENT"
"https://www.mumsnet.com/talk/feeling_depressed/4897127-depressed-dh-ruined-business-im-spiralling?page=4","Mental health","4897127","Depressed DH, ruined business, I'm spiralling.","LittleAnonymouse","2023-09-15","I'm posting anonymously - for reasons that will possibly become clear in a second. I'm really upset, like hyperventilating crying upset, and the only thing that I feel will make it better is to hurt myself. This is something I haven't done in years, and not a soul knows I've done it in the past (very creative with hiding cuts in the creases of limbs etc.). I'm absolutely not going to hurt myself tonight. My 15 yr old girl is upstairs in her room, she's number one in the list of priorities and thus would never do it under the same roof as her, but she goes to her dad's for the night tomorrow and I'm planning on doing it then. It gives me a sense of control when everything else is going crazy. My ""D""H has broken me, again. He cheated on me in 2013, he gaslit me for years, even when I was begging him for the truth, until I found out for sure in 2018. I stayed, we ""recovered"", he did so much to regain my trust. Or so I thought. We own a small business (well smallish, we employ 25 people). I am a director. I was supposed to be an active partner, we argued over the years as I was consistently left on the periphery, I didn't have access to the finances for years, he always gave me an excuse as to why I didn't have replacement bank access details when mine stopped working pre Covid. I regularly asked him how we were doing financially, he sad ""not bad"", ""pretty good"", I checked with him that major creditors had been paid, that pensions had been paid into (they have, I've now checked), every time I knew account submissions to companies house were due I would get assurance after assurance that it was all in hand. Every time there was a letter through our door saying the accounts were late, there was always a reason, always assurances that our accountant was taking care of it. I am a fucking IDIOT for believing him. If I'm honest, I never felt 100% sure deep down. I got myself another job last November, which I love and I've been very successful in so far - it gives me purpose, it gives me a renewed sense of identity and self worth. Thank god for this job. The shit hit the fan on Thursday when our business partner (owns a very small percentage of the business, he's a silent partner for all intents and purposes but listed as a director) got a call from the bank to say that the ltd company had been struck off due to not filing any accounts (even the extension deadline had been exhausted), and that our bounce back loan of circa 22k and the overdraft that he had managed to run up since the last accounts were filed of 20k were both immediately due in full. After all my pleas for involvement, information, offers of help and support ad infinitum (even after I started the new job), reassurances from him that all is well, we are now in a position that we may well have to sell our house to pay the debt, and shut a business down that has been running since the 80s (we took it over in 2013). I checked companies house, they have issued no less than 5 compulsory strike-off notices since 2020. I am livid with myself. Covid hit us hard, but that doesn't explain why accounts were submitted late, or not at all in this case. He's submitted a plea in writing to have a final chance to submit the accounts and he's meeting the accountant on Monday (it isn't her fault, she's been sending him emails asking for more information that he's just been ignoring), when they'll complete and file them if they can - in the vain hope that this will appease the Companies House gods. He is saying all the right things, ""I've fucked up, you deserve better"" etc. he is telling me he has been depressed for a while, and I know depression takes many forms but all I've see him do over the past year is having fun with his mates, playing in his band, spending inordinate amounts of time on frivolous projects - which I thought he was doing as he was on top of the business stuff. He's been working from home about 90% of the time since Covid (I don't work from home), but unless I ask him to do something specific in the house it usually doesn't get done. Often the breakfast stuff is still on the table when I get home. Our lovely house is currently a shithole - it doesn't help that I'm currently anaemic so when I get home I am dog tired and can only just about make dinner - admittedly he does cook sometimes, and clears up if he doesn't cook, he's pretty good with the kitchen stuff. He has had some shit thrown at him this year by life - he was very ill a few months ago and was hospitalised, which put him out for about a month, his estranged father died (complex grief is a thing, of that I'm sure). He has every reason to be depressed. But he's lied and he's lied and he's lied. He's jeopardised us, our house, the livelihoods of 25 people, our friend/business partner and his family (who are godparents to my DD, as I am to theirs), not that I am going to let them financially suffer - this is on us. All because he couldn't say the words, ""I need help"". Why? Because of his pride? I just don't understand. He's crying a lot to me, suggesting we would be better off without him - I told him that suicide would be the most selfish thing he could do to me. Was that cruel? I'm begging him to see someone, to talk to someone - but I've also told him it can't be me right now as I am so so angry and upset. He's currently on a golfing weekend - it was already paid for and to be honest I told him to go, I needed him away from me. It also happens to be an annual memorial golf weekend in memory of his friend that died by suicide. The only thing I feel will help me feel better is to cut myself. I can't call Samaritans, not with my DD upstairs. They don't offer an online chat service yet, does anyone know of a service that does? I think I need to talk to someone.","2023-09-15","143","129297445","2023-09-19","PragmaticWench","Alternatively, please call your local mental health crisis team. They should be 24 hours. https://www.nhs.uk/nhs-services/mental-health-services/where-to-get-urgent-help-for-mental-health/"
"https://www.mumsnet.com/talk/style_and_beauty/4918149-cool-alternative-to-jeans","Style & Beauty","4918149","Cool alternative to Jeans","misshappycat","2023-10-12","Has anyone found a comfortable (yet not frumpy) alternative to jeans? For those days when you’re feeling a bit bleurgh due to bloating, but you’re resistant to full jogging bottoms mode? Tried these https://lucyandyak.com/products/alexa-organic-cotton-trousers-in-black-new-fit?variant=39397748801639&currency=GBP&istCompanyId=dcc139a6-53e9-4b17-a0c2-b8ccc374bc87&istFeedId=7171bd12-5f0c-4560-84c9-f51392775295&istItemId=rtmwtqtml&istBid=t&gclid=Cj0KCQjwsp6pBhCfARIsAD3GZubNMZzRPLVlaAkZ6jiAa5rki1aO_ZCQYV3S79ekyskt8VCAE5Kq1MaAhzJEALw_wcB but felt they were a bit tentish. Any ideas? Another difficulty is that I’m tall and also struggle to find trousers that go up past my hips - most end up in a hipster style. Muffin top is not something I want to bring back. Thanks all! Edited","2023-10-12","32","129885934","2023-10-12","Hashtagihearya","No no not the cream, I got the black obviously!!! Haha I think when I linked them just came up with cream. No way would I get away with cream!"
"https://www.mumsnet.com/talk/_chat/4773637-will-it-ever-come-back","Chat","4773637","Will it ever come back?","Chaseandrace","2023-03-29","My libido that is. NC as I'm very embarrassed about this. In my early 20's I was a rampant rabbit. Would be up for anything and had many sexual partners where the sex was just AMAZING. I was a borderline nymphomaniac to say that least. Fast forward 7 years, I'm in a LTR with a very loving partner, perfect in every way and I'm very attracted to him. But my vagina says otherwise! I just can't get turned on for the life of me and my libido has hit rock bottom. We've tried everything we can in the book and I'm starting to pull my hair out as to why it's changed in the last couple of years. I dry up immediately and don't feel that 'excitement' when he touches me, sometimes I feel uncomfortable and quite shameful and would rather avoid it. I've heard testosterone can fix the issue? I'm only mid 20's so hoping I'm not doomed! It's really starting to upset me and hoping somehow, this can be fixed.","2023-03-29","16","125014842","2023-03-29","LarryandLeon","How long have you been in the relationship? Could it be related to the fact that it’s a LTR & somehow that is causing you to put up some kind of barrier?"
"https://www.mumsnet.com/talk/_chat/4773420-i-absolutely-hate-sex-with-my-ltp","Chat","4773420","I absolutely hate sex with my LTP","lustornolust","2023-03-28","Words of wisdom please. Been with my partner 5 years and the sex has never been good. It's been 'ok'. Previous to him I had a high sex drive and spent a lot of time with different flings and short term boyfriends where I thoroughly enjoyed sex so much. Since being with my partner it's just been... shit. He's perfect in every way, apart from sex. He's loving, very handsome, caring, works hard etc but the sexual chemistry is just not there for me. I'm scared to leave, incase I regret it. If I left I could buy him out and own the house but I moved away from home to be in-between both our families and feel if I left, I'd loose everyone I've met through him and fear I'd never meet such a wonderful family as his. I don't want to make a mistake but it's just taking its toll on me now. We haven't had sex for two months because I just can't stand it. I feel sick and disgusting afterwards and it simply isn't normal. Any advice?","2023-03-28","42","125004840","2023-03-28","LakeTiticaca","This was me 40+ years ago as a naive 20 year old . My first proper relationship I really fell for him. Sex was great. We decided to move in together and unfortunately on our very first night in our crummy rented bedsit, I got the ick. I couldn't stand him touching me. I naively thought it would improve but it didn't and I spent 2 years in utter misery, avoiding sex and being called frigid. Thankfully it ended and I was finally free. You need to end things because it won't change. It's kinder that way for both of you x"
"https://www.mumsnet.com/talk/sex/4949886-period-sex","Sex","4949886","Period sex","ShouldThisBeAnIssue","2023-11-24","Partner says period sex 'isn't something he likes the idea of'. I've never been with someone who has had an issue with it and honestly, it makes me feel gross during that week because I know he's not interested Other than that sex life is very active, usually more than 3x a week. He is more than happy with all sorts of other things, bum stuff, other stuff - just that week he doesn't like the idea of. I've googled and so many articles saying LTB if this is a thing I am interested to hear others experiences","2023-11-24","16","131173820","2023-12-03","Thisisworsethananticpated","I used a mooncup ! just not on heaviest days and crack on"
"https://www.mumsnet.com/talk/am_i_being_unreasonable/4916634-to-ask-what-you-would-do","AIBU?","4916634","To ask what you would do","Thisisnotlikehim","2023-10-10","Posting here for traffic which I know makes me unreasonable. New name but LTP. Been around for Pom bear, Mexican house thief and I’d know how to get my laundry darked on DH has felt ill since Sat. He is drinking fine and managing to eat very small amounts. He has stomach cramps and nausea. This morning he has now said he has palpitations and mild breathless too. He’s notorious for not seeking medical advice. Negative Covid test. Should I press him to call 111 or am I worrying unnecessarily?","2023-10-10","21","129820555","2023-10-10","Stompythedinosaur","I don't think I'd take any further action at this point, he doesn't sound acutely unwell."
"https://www.mumsnet.com/talk/am_i_being_unreasonable/4795703-to-ask-you-what-your-marriageltr-is-like?page=3","AIBU?","4795703","To ask you what your marriage/LTR is like?","KM99","2023-04-29","I've been with my DH for 17 years, married for 13 this year. When we met I didn't fall deeply in love, it grew to a stable love over time. I'd had a string of bad relationships and thought I was making a grown up choice. I told myself that sparks and head over heels was a fairy tale. Only, now I'm here at 47 with a 9 year old DS and I'm not particularly happy in the relationship. I'm not deeply unhappy, my DH is a good man but we've become more like co-parents who very occasionally have sex. I spend a lot of time doing my own thing and avoiding too much time with him. His habits annoy me and I'm sure he'd the same about me! I care about him, he's one of my closest friends.. but I keep thinking does he deserve a better love than I give him and vice versa? Or do I just need to grow the F up? Work on myself and my issues? This feels like a diamond shoes too tight kind of problem to be honest. Marriages exist on less. So, how would you describe your marriage?","2023-04-29","86","125816966","2023-04-30","Giselletheunicorn","Been together 25 years and married for 17. It wasn't the lightning bolt at the start but it grew to be something incredibly loving and committed. No regrets whatsoever."
"https://www.mumsnet.com/talk/_chat/4983850-riddle-me-this-ltd-company-self-employed","Chat","4983850","Riddle me this (ltd company, self-employed)","IneedhandcreamandaNC","2024-01-12","Today I met an agency nurse. She was telling me that she picks and chooses her shifts through an agency but that she is self-employed. Okay, fine. But I made a comment about tax self assessment and asked if it were much of a pain. The nurse told me that she set up a limited company to pay herself. What's the benefit? Google suggests no NICs (not necessarily a benefit I think - no state pension?) and that company tax rates are lower than personal tax rates. Is that why or are there other benefits? It sounds a little too easy or is she very savvy? I didn't have time to ask her as we were needed elsewhere. I'm NHS staff and don't plan to change, not at the moment anyway. But I was surprised she went to the effort of a ltd co.","2024-01-12","10","132182173","2024-01-13","Hereyago","And don’t forget corporation tax! A lot of people think limited companies pay a lot less tax but they pay 19% on all profit (and that’s increasing). I would expect that as a nurse, she would have loads of ‘expenses’ so will have to pay this. It actually works out as more tax in certain cases."
"https://www.mumsnet.com/talk/radio_addicts/4927142-archers-thread-156-fireworks-in-ambridge-helen-gave-lee-a-rocket-but-grey-gables-is-a-damp-squib-is-the-writing-on-the-church-walldiscuss-the-archers-here?page=17","Radio addicts","4927142","Archers thread #156: Fireworks in Ambridge! Helen gave Lee a rocket, but Grey Gables is a damp squib. Is the writing on the (church) wall?Discuss The Archers here.","Gasp0deTheW0nderD0g","2023-10-24","Thank you, @PseudoBadger, for kicking off this long, long series of Archers threads. All views on The Archers welcome here! New blood welcomed, and of course we are always delighted to welcome back former or occasional listeners/posters. We don't all agree on all points, although we do mostly try to be civil about it. Most of us are posting tongue in cheek a lot of the time, so don't worry about revealing that you're irresistibly attracted to George Grundy, or other unusual views. Spoilers: not on this thread, please! We don't wait for the omnibus to discuss the weeknight episodes, but we do try our best to avoid cross-contamination from www.mumsnet.com/talk/radio_addicts/4636789-the-archers-spoilers-thread-7-cant-wait-for-702pm-join-us-here , where spoilers are positively welcomed! For newer listeners, lurkers or those who just have no idea what we're talking about, @DadDadDad has created this useful thread: //www.mumsnet.com/Talk/radio_addicts/3557323-For-Archers-fans-a-guide-to-acronyms-on-the-long-running-discussion-threads-and-any-other-meta-thread-questions-you-may-have - BOOP point for him! (See thread for explanation.) Thanks to @OverArmour for the title suggestion, which I have tweaked a bit. I was strongly tempted by Less GGP (Grey Gables Peril) More GPP (Guinea Pig Plot) , which was a plaintive cry from @PuppyPerson some days ago, but if Poppy has found new homes for the baby guinea pigs that may be the last we hear of them for some time, sadly. Surely in the life of the next thread we must hear more from or of Rob, or Ron as some on this thread prefer to call him? <taps foot> Will Kirsty snap and tell Helen a few home truths? Will Pat's shotgun finally be brought into play? We can only hope ... Also, will we ever find out who owns the other 60% of Grey Gables? Why is Adil AWOL (to use the other bit of OverArmour's title idea!)? Why aren't we hearing from Roy? Will GG ever re-open and will Emma get her Big Chance at last? So many questions! Over to you.","2023-10-24","1000","130408484","2023-11-02","CaptainMyCaptain","I thought he said Helen at first but then assumed he'd said Alan. If he did day Helen it could be another very subtle hint as to an unfolding dementia story line. He's thinking about Helen so says her name."
"https://www.mumsnet.com/talk/other_subjects/4914754-swagger-inn-175-the-one-with-no-witty-title-but-lots-of-hbfs?page=16","Other subjects","4914754","Swagger Inn 175 - The one with no witty title (but lots of HBFs)","SisterHelenoftheEternalCatchUp","2023-10-07","<Wipes bar> <Burns chaise> <mops floor> <lights fire> Thread 175 - will we never shut up?! Pull up a chair and have a good whinge about domestic tedium and annoyingly fictional HBFs... (once we've finished the other thread).","2023-10-07","820","131501901","2023-12-16","FancyFancy","Evening Have been doing a bit more present buying and decorating, a fairly lazy day in all, which was much needed. Lunch yesterday was nice, was on a table with another department & the new women in that department turned out to be good company. Food was a bit mixed - my main course was pretty bland, not surprising as checking the menu later I reckon they missed out all of the seasonings. I didn't see any of the vegetable side dishes either. But hey, it's a free meal & an afternoon off work, so what's not to like? How is Misty getting on?"
